Attendance,CGPA,ProjectsCompleted,InternshipMonths,Salary_LPA
68.7,5.64,8,6,17.83
97.5,8.36,4,11,23.42
86.6,6.91,1,1,17.03
79.9,7.79,8,1,20.2
57.8,9.58,4,6,21.85
57.8,6.62,6,5,18.03
52.9,7.35,8,2,18.54
93.3,8.9,4,8,23.2
80.1,6.53,3,9,18.82
85.4,5.85,9,12,21.45
51.0,6.8,3,5,16.24
98.5,6.23,9,9,21.61
91.6,9.68,2,9,23.7
60.6,9.14,2,5,20.13
59.1,8.35,2,0,17.51
59.2,9.42,6,3,21.48
65.2,9.12,3,9,21.61
76.2,6.34,9,5,19.54
71.6,9.52,4,5,21.78
64.6,7.93,1,10,19.39
80.6,9.13,4,11,23.54
57.0,9.53,1,4,19.72
64.6,6.93,5,0,16.32
68.3,6.0,4,7,17.34
72.8,6.53,8,4,18.6
89.3,7.42,8,11,23.41
60.0,9.18,7,11,23.65
75.7,9.37,3,11,23.6
79.6,5.53,1,4,14.87
52.3,7.8,1,6,17.17
80.4,7.38,3,3,17.98
58.5,6.5,6,5,17.84
53.3,6.04,7,12,19.21
97.4,7.02,6,3,19.68
98.3,9.74,6,2,23.08
90.4,6.95,6,6,20.42
65.2,7.83,3,7,19.68
54.9,8.66,6,3,20.37
84.2,7.14,8,12,22.6
72.0,9.87,2,1,20.58
56.1,9.83,5,11,23.95
74.8,6.63,1,9,17.48
51.7,7.74,1,2,16.23
95.5,6.85,5,0,18.26
62.9,6.78,3,7,17.77
83.1,5.67,4,2,15.64
65.6,8.24,3,11,20.97
76.0,7.76,1,9,19.7
77.3,5.73,1,6,15.79
59.2,6.75,5,9,18.33
98.5,9.59,6,4,23.42
88.8,6.58,3,9,19.19
97.0,6.15,9,4,19.76
94.7,7.7,5,6,21.03
79.9,9.94,8,8,25.42
96.1,6.59,1,11,19.59
54.4,8.52,5,4,19.72
59.8,8.93,3,0,18.64
52.3,6.57,1,9,16.3
66.3,8.78,4,9,21.11
69.4,7.16,5,0,17.43
63.6,8.35,7,1,20.23
91.4,8.35,1,5,19.93
67.8,7.91,3,8,19.9
64.0,5.91,2,7,16.03
77.1,9.26,9,12,26.28
57.0,6.94,10,4,19.64
90.1,6.34,6,0,17.51
53.7,5.68,10,12,19.82
99.3,8.16,3,6,21.22
88.6,8.55,8,4,22.37
59.9,5.57,8,5,16.97
50.3,7.8,2,12,19.79
90.8,6.52,6,6,19.47
85.3,8.4,7,2,21.27
86.5,6.28,2,11,18.61
88.6,8.61,10,9,25.13
53.7,7.24,2,2,15.65
67.9,9.72,10,4,24.23
55.8,6.12,1,5,14.83
93.2,7.03,8,8,21.46
81.2,6.01,1,12,18.29
66.5,9.66,9,11,25.68
53.2,9.45,6,4,21.81
65.5,6.66,7,0,17.36
66.3,8.47,10,3,21.74
86.5,9.18,7,4,22.94
81.9,8.0,10,11,24.16
94.4,7.88,3,9,21.12
73.6,6.59,2,9,17.98
56.0,5.92,9,4,17.77
85.7,9.54,8,6,24.21
88.0,9.55,10,3,24.8
78.1,8.35,7,0,20.38
88.5,7.03,9,4,20.88
74.7,7.07,4,6,18.89
76.1,8.77,4,9,22.04
71.4,9.54,1,9,22.13
51.3,9.49,8,5,22.39
55.4,9.01,3,4,19.19
